Order	POAexemptCode	Description
59837	S82.446M	"Nondisplaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
59838	S82.446N	"Nondisplaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59839	S82.446P	"Nondisplaced spiral fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
59840	S82.446Q	"Nondisplaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
59841	S82.446R	"Nondisplaced spiral fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59842	S82.446S	"Nondisplaced spiral fracture of shaft of unspecified fibula, sequela"
59848	S82.451D	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing"
59849	S82.451E	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing"
59850	S82.451F	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59851	S82.451G	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
59852	S82.451H	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
59853	S82.451J	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59854	S82.451K	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion"
59855	S82.451M	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion"
59856	S82.451N	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59857	S82.451P	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion"
59858	S82.451Q	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion"
59859	S82.451R	"Displaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59860	S82.451S	"Displaced comminuted fracture of shaft of right fibula, sequela"
59865	S82.452D	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing"
59866	S82.452E	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing"
59867	S82.452F	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59868	S82.452G	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
59869	S82.452H	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
59870	S82.452J	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59871	S82.452K	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion"
59872	S82.452M	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion"
59873	S82.452N	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59874	S82.452P	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
59875	S82.452Q	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion"
59876	S82.452R	"Displaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59877	S82.452S	"Displaced comminuted fracture of shaft of left fibula, sequela"
59882	S82.453D	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing"
59883	S82.453E	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
59884	S82.453F	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59885	S82.453G	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
59886	S82.453H	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
59887	S82.453J	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59888	S82.453K	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion"
59889	S82.453M	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
59890	S82.453N	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59891	S82.453P	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
59892	S82.453Q	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
59893	S82.453R	"Displaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59894	S82.453S	"Displaced comminuted fracture of shaft of unspecified fibula, sequela"
59899	S82.454D	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing"
59900	S82.454E	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing"
59901	S82.454F	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59902	S82.454G	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
59903	S82.454H	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
59904	S82.454J	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59905	S82.454K	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion"
59906	S82.454M	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion"
59907	S82.454N	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59908	S82.454P	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion"
59909	S82.454Q	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion"
59910	S82.454R	"Nondisplaced comminuted fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59911	S82.454S	"Nondisplaced comminuted fracture of shaft of right fibula, sequela"
59916	S82.455D	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing"
59917	S82.455E	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing"
59918	S82.455F	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59919	S82.455G	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
59920	S82.455H	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
59921	S82.455J	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59922	S82.455K	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion"
59923	S82.455M	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion"
59924	S82.455N	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59925	S82.455P	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
59926	S82.455Q	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion"
59927	S82.455R	"Nondisplaced comminuted fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59928	S82.455S	"Nondisplaced comminuted fracture of shaft of left fibula, sequela"
59933	S82.456D	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing"
59934	S82.456E	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
59935	S82.456F	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59936	S82.456G	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
59937	S82.456H	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
59938	S82.456J	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59939	S82.456K	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion"
59940	S82.456M	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
59941	S82.456N	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59942	S82.456P	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
59943	S82.456Q	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
59944	S82.456R	"Nondisplaced comminuted fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59945	S82.456S	"Nondisplaced comminuted fracture of shaft of unspecified fibula, sequela"
59951	S82.461D	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing"
59952	S82.461E	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing"
59953	S82.461F	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59954	S82.461G	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
59955	S82.461H	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
59956	S82.461J	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59957	S82.461K	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion"
59958	S82.461M	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion"
59959	S82.461N	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59960	S82.461P	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion"
59961	S82.461Q	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion"
59962	S82.461R	"Displaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59963	S82.461S	"Displaced segmental fracture of shaft of right fibula, sequela"
59968	S82.462D	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing"
59969	S82.462E	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing"
59970	S82.462F	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59971	S82.462G	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
59972	S82.462H	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
59973	S82.462J	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59974	S82.462K	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion"
59975	S82.462M	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion"
59976	S82.462N	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59977	S82.462P	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
59978	S82.462Q	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion"
59979	S82.462R	"Displaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59980	S82.462S	"Displaced segmental fracture of shaft of left fibula, sequela"
59985	S82.463D	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing"
59986	S82.463E	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
59987	S82.463F	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
59988	S82.463G	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
59989	S82.463H	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
59990	S82.463J	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
59991	S82.463K	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion"
59992	S82.463M	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
59993	S82.463N	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
59994	S82.463P	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
59995	S82.463Q	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
59996	S82.463R	"Displaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
59997	S82.463S	"Displaced segmental fracture of shaft of unspecified fibula, sequela"
60002	S82.464D	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing"
60003	S82.464E	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing"
60004	S82.464F	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60005	S82.464G	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
60006	S82.464H	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
60007	S82.464J	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60008	S82.464K	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion"
60009	S82.464M	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion"
60010	S82.464N	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60011	S82.464P	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion"
60012	S82.464Q	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion"
60013	S82.464R	"Nondisplaced segmental fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60014	S82.464S	"Nondisplaced segmental fracture of shaft of right fibula, sequela"
60019	S82.465D	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing"
60020	S82.465E	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing"
60021	S82.465F	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60022	S82.465G	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
60023	S82.465H	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
60024	S82.465J	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60025	S82.465K	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion"
60026	S82.465M	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion"
60027	S82.465N	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60028	S82.465P	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
60029	S82.465Q	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion"
60030	S82.465R	"Nondisplaced segmental fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60031	S82.465S	"Nondisplaced segmental fracture of shaft of left fibula, sequela"
60036	S82.466D	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing"
60037	S82.466E	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
60038	S82.466F	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60039	S82.466G	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
60040	S82.466H	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
60041	S82.466J	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60042	S82.466K	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion"
60043	S82.466M	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
60044	S82.466N	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60045	S82.466P	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
60046	S82.466Q	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
60047	S82.466R	"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60048	S82.466S	"Nondisplaced segmental fracture of shaft of unspecified fibula, sequela"
60054	S82.491D	"Other fracture of shaft of right fibula, subsequent encounter for closed fracture with routine healing"
60055	S82.491E	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with routine healing"
60056	S82.491F	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60057	S82.491G	"Other fracture of shaft of right fibula, subsequent encounter for closed fracture with delayed healing"
60058	S82.491H	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with delayed healing"
60059	S82.491J	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60060	S82.491K	"Other fracture of shaft of right fibula, subsequent encounter for closed fracture with nonunion"
60061	S82.491M	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with nonunion"
60062	S82.491N	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60063	S82.491P	"Other fracture of shaft of right fibula, subsequent encounter for closed fracture with malunion"
60064	S82.491Q	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type I or II with malunion"
60065	S82.491R	"Other fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60066	S82.491S	"Other fracture of shaft of right fibula, sequela"
60071	S82.492D	"Other fracture of shaft of left fibula, subsequent encounter for closed fracture with routine healing"
60072	S82.492E	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with routine healing"
60073	S82.492F	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60074	S82.492G	"Other fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
60075	S82.492H	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with delayed healing"
60076	S82.492J	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60077	S82.492K	"Other fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion"
60078	S82.492M	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion"
60079	S82.492N	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60080	S82.492P	"Other fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion"
60081	S82.492Q	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with malunion"
60082	S82.492R	"Other fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60083	S82.492S	"Other fracture of shaft of left fibula, sequela"
60088	S82.499D	"Other fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with routine healing"
60089	S82.499E	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with routine healing"
60090	S82.499F	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60091	S82.499G	"Other fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing"
60092	S82.499H	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with delayed healing"
60093	S82.499J	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60094	S82.499K	"Other fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with nonunion"
60095	S82.499M	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with nonunion"
60096	S82.499N	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60097	S82.499P	"Other fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
60098	S82.499Q	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type I or II with malunion"
60099	S82.499R	"Other fracture of shaft of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60100	S82.499S	"Other fracture of shaft of unspecified fibula, sequela"
60106	S82.51XD	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with routine healing"
60107	S82.51XE	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with routine healing"
60108	S82.51XF	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60109	S82.51XG	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with delayed healing"
60110	S82.51XH	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
60111	S82.51XJ	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60112	S82.51XK	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with nonunion"
60113	S82.51XM	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with nonunion"
60114	S82.51XN	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60115	S82.51XP	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with malunion"
60116	S82.51XQ	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with malunion"
60117	S82.51XR	"Displaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60118	S82.51XS	"Displaced fracture of medial malleolus of right tibia, sequela"
60123	S82.52XD	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for closed fracture with routine healing"
60124	S82.52XE	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type I or II with routine healing"
60125	S82.52XF	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60126	S82.52XG	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for closed fracture with delayed healing"
60127	S82.52XH	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
60128	S82.52XJ	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60129	S82.52XK	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for closed fracture with nonunion"
60130	S82.52XM	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type I or II with nonunion"
60131	S82.52XN	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60132	S82.52XP	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for closed fracture with malunion"
60133	S82.52XQ	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type I or II with malunion"
60134	S82.52XR	"Displaced fracture of medial malleolus of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60135	S82.52XS	"Displaced fracture of medial malleolus of left tibia, sequela"
60140	S82.53XD	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for closed fracture with routine healing"
60141	S82.53XE	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
60142	S82.53XF	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60143	S82.53XG	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
60144	S82.53XH	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
60145	S82.53XJ	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60146	S82.53XK	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for closed fracture with nonunion"
60147	S82.53XM	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
60148	S82.53XN	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
60149	S82.53XP	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for closed fracture with malunion"
60150	S82.53XQ	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
60151	S82.53XR	"Displaced fracture of medial malleolus of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
60152	S82.53XS	"Displaced fracture of medial malleolus of unspecified tibia, sequela"
60157	S82.54XD	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with routine healing"
60158	S82.54XE	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with routine healing"
60159	S82.54XF	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
60160	S82.54XG	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with delayed healing"
60161	S82.54XH	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
60162	S82.54XJ	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
60163	S82.54XK	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for closed fracture with nonunion"
60164	S82.54XM	"Nondisplaced fracture of medial malleolus of right tibia, subsequent encounter for open fracture type I or II with nonunion"
